Âge,Sexe,Revenu_Mensuel,Diplôme,Lieu_de_Vie,Sport,Lecture,Culture,Type_Alimentation,Score_Écologie,Orientation_Politique,Religion,Usage_Réseaux_Sociaux,Achats_en_Ligne,Fréquence_Voyages
62,Femme,866,Bac+5,Campagne,3x+/sem,Régulier,Jamais,Équilibré,1,Droite,Agnostique,Jamais,1x/sem,2-3x/an
19,Femme,2250,Bac+5,Campagne,1-2x/sem,Occasionnel,2-4x/an,Bio,1,Centre,Pratiquant,<1h/j,1x/mois,Jamais
59,Homme,1371,Bac+2,Ville moyenne,Rarement,Régulier,Jamais,Équilibré,8,Apolitique,Agnostique,1-3h/j,Jamais,2-3x/an
32,Femme,1943,Bac,Ville moyenne,Rarement,Occasionnel,1x/mois ou +,Industriel,2,Gauche,Athée,3h+/j,2x+/sem,1x/an
41,Homme,1601,Bac+5,Ville moyenne,Rarement,Jamais,2-4x/an,Industriel,8,Apolitique,Pratiquant,<1h/j,1x/sem,1x/an
51,Femme,2204,Bac+2,Grande ville,3x+/sem,Jamais,2-4x/an,Industriel,10,Apolitique,Pratiquant,<1h/j,Jamais,1x/an
21,Femme,1191,Doctorat,Grande ville,Rarement,Régulier,1x/an,Bio,9,Gauche,Croyant non pratiquant,3h+/j,2x+/sem,Jamais
35,Homme,2196,Bac,Grande ville,Rarement,Jamais,2-4x/an,Industriel,4,Gauche,Croyant non pratiquant,1-3h/j,1x/mois,Jamais
42,Femme,2311,Doctorat,Ville moyenne,Jamais,Régulier,1x/an,Bio,6,Droite,Athée,Jamais,2x+/sem,1x/an
64,Femme,2662,Bac+2,Grande ville,3x+/sem,Occasionnel,1x/an,Industriel,10,Droite,Agnostique,3h+/j,1x/sem,1x/an
41,Femme,3574,Bac+5,Ville moyenne,Rarement,Occasionnel,1x/mois ou +,Industriel,4,Gauche,Pratiquant,3h+/j,Jamais,2-3x/an
23,Homme,500,Bac,Banlieue,Rarement,Occasionnel,1x/an,Industriel,1,Droite,Pratiquant,Jamais,1x/sem,2-3x/an
51,Femme,2256,Bac+2,Grande ville,Rarement,Occasionnel,1x/an,Équilibré,8,Apolitique,Croyant non pratiquant,<1h/j,1x/mois,Jamais
68,Homme,1432,Bac+2,Campagne,1-2x/sem,Régulier,1x/an,Industriel,3,Droite,Agnostique,3h+/j,Jamais,2-3x/an
55,Femme,500,Bac+2,Grande ville,3x+/sem,Occasionnel,2-4x/an,Bio,8,Gauche,Agnostique,<1h/j,Jamais,1x/an
20,Femme,2673,Bac+5,Ville moyenne,Rarement,Occasionnel,2-4x/an,Bio,6,Apolitique,Croyant non pratiquant,1-3h/j,2x+/sem,2-3x/an
36,Femme,3065,Bac+5,Ville moyenne,Jamais,Occasionnel,1x/an,Bio,5,Gauche,Pratiquant,<1h/j,1x/mois,Jamais
64,Femme,1686,Bac+5,Grande ville,1-2x/sem,Jamais,1x/mois ou +,Industriel,1,Droite,Agnostique,<1h/j,1x/sem,2-3x/an
63,Homme,2168,Bac+5,Grande ville,Rarement,Jamais,1x/mois ou +,Équilibré,6,Apolitique,Pratiquant,Jamais,1x/mois,2-3x/an
53,Homme,1948,Bac+5,Grande ville,Jamais,Occasionnel,1x/an,Équilibré,9,Apolitique,Croyant non pratiquant,Jamais,1x/sem,2-3x/an
36,Femme,2347,Bac,Banlieue,Rarement,Occasionnel,1x/an,Végétarien,3,Gauche,Croyant non pratiquant,1-3h/j,1x/mois,1x/an
45,Homme,2704,Bac+5,Grande ville,Jamais,Occasionnel,2-4x/an,Végétarien,3,Droite,Croyant non pratiquant,3h+/j,Jamais,1x/an
64,Homme,2275,Bac,Grande ville,3x+/sem,Occasionnel,2-4x/an,Bio,1,Droite,Agnostique,<1h/j,1x/sem,4x+/an
27,Femme,2276,Aucun,Ville moyenne,3x+/sem,Régulier,1x/an,Équilibré,3,Centre,Croyant non pratiquant,<1h/j,1x/mois,2-3x/an
35,Homme,3007,Doctorat,Grande ville,3x+/sem,Régulier,1x/mois ou +,Bio,2,Apolitique,Agnostique,1-3h/j,1x/sem,1x/an
21,Femme,1868,Bac+2,Grande ville,3x+/sem,Occasionnel,1x/an,Industriel,10,Centre,Athée,3h+/j,1x/sem,1x/an
29,Homme,2738,Bac,Ville moyenne,Jamais,Régulier,1x/mois ou +,Industriel,9,Gauche,Athée,<1h/j,1x/mois,1x/an
44,Homme,1342,Bac+2,Ville moyenne,Jamais,Jamais,1x/an,Végétarien,6,Droite,Agnostique,Jamais,Jamais,4x+/an
46,Femme,3285,Bac,Campagne,1-2x/sem,Régulier,2-4x/an,Équilibré,9,Apolitique,Athée,1-3h/j,1x/mois,2-3x/an
29,Homme,2590,Bac,Campagne,Jamais,Occasionnel,1x/mois ou +,Équilibré,4,Gauche,Athée,<1h/j,Jamais,2-3x/an
28,Homme,1676,Bac+5,Banlieue,Rarement,Régulier,2-4x/an,Végétarien,5,Droite,Agnostique,3h+/j,1x/sem,2-3x/an
21,Homme,500,Bac,Campagne,Rarement,Jamais,1x/an,Équilibré,1,Gauche,Pratiquant,3h+/j,1x/mois,4x+/an
63,Femme,1999,Doctorat,Grande ville,Rarement,Occasionnel,1x/an,Bio,10,Gauche,Pratiquant,Jamais,1x/mois,1x/an
41,Femme,1054,Bac+5,Banlieue,Jamais,Occasionnel,2-4x/an,Bio,1,Apolitique,Agnostique,1-3h/j,1x/mois,1x/an
43,Homme,2239,Bac+5,Banlieue,3x+/sem,Jamais,2-4x/an,Industriel,2,Apolitique,Croyant non pratiquant,3h+/j,1x/mois,2-3x/an
45,Femme,3160,Bac,Grande ville,3x+/sem,Régulier,2-4x/an,Équilibré,1,Gauche,Athée,<1h/j,2x+/sem,1x/an
64,Homme,2128,Bac+5,Grande ville,Rarement,Régulier,1x/an,Équilibré,2,Apolitique,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
21,Femme,1857,Aucun,Grande ville,1-2x/sem,Régulier,2-4x/an,Industriel,5,Gauche,Agnostique,1-3h/j,1x/sem,4x+/an
53,Homme,2273,Bac+2,Campagne,Rarement,Occasionnel,2-4x/an,Industriel,6,Apolitique,Pratiquant,<1h/j,1x/mois,2-3x/an
32,Homme,2228,Bac,Campagne,3x+/sem,Occasionnel,2-4x/an,Industriel,7,Gauche,Agnostique,1-3h/j,1x/mois,2-3x/an
39,Femme,500,Bac+5,Ville moyenne,1-2x/sem,Jamais,1x/an,Équilibré,9,Gauche,Athée,<1h/j,1x/sem,2-3x/an
66,Homme,2192,Bac+5,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Bio,8,Gauche,Agnostique,Jamais,1x/mois,4x+/an
41,Homme,2496,Bac+2,Campagne,Rarement,Régulier,1x/an,Bio,4,Centre,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
41,Homme,1792,Bac+2,Grande ville,1-2x/sem,Régulier,1x/an,Équilibré,5,Centre,Croyant non pratiquant,<1h/j,Jamais,Jamais
54,Femme,2782,Aucun,Banlieue,1-2x/sem,Jamais,1x/an,Bio,7,Centre,Croyant non pratiquant,1-3h/j,1x/sem,Jamais
22,Femme,1897,Bac,Ville moyenne,3x+/sem,Régulier,1x/an,Équilibré,2,Gauche,Croyant non pratiquant,1-3h/j,1x/mois,Jamais
23,Homme,2613,Bac+5,Ville moyenne,1-2x/sem,Occasionnel,2-4x/an,Industriel,1,Droite,Athée,<1h/j,1x/mois,4x+/an
66,Homme,3818,Aucun,Campagne,Rarement,Jamais,2-4x/an,Végétarien,10,Centre,Athée,3h+/j,1x/sem,1x/an
27,Femme,1922,Bac+5,Grande ville,1-2x/sem,Occasionnel,Jamais,Bio,10,Droite,Athée,Jamais,Jamais,1x/an
20,Homme,500,Doctorat,Grande ville,Rarement,Jamais,2-4x/an,Bio,10,Droite,Athée,<1h/j,1x/sem,2-3x/an
55,Homme,1730,Aucun,Banlieue,Rarement,Jamais,1x/an,Équilibré,9,Apolitique,Agnostique,3h+/j,2x+/sem,Jamais
51,Femme,619,Bac+2,Grande ville,Rarement,Régulier,1x/an,Industriel,9,Droite,Pratiquant,Jamais,1x/mois,2-3x/an
23,Homme,2488,Bac+2,Banlieue,1-2x/sem,Régulier,2-4x/an,Bio,8,Centre,Croyant non pratiquant,<1h/j,1x/mois,1x/an
27,Homme,3047,Bac+5,Grande ville,Jamais,Occasionnel,2-4x/an,Équilibré,10,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
33,Femme,2556,Bac,Campagne,1-2x/sem,Jamais,1x/an,Équilibré,1,Centre,Pratiquant,1-3h/j,2x+/sem,1x/an
46,Homme,2256,Bac+2,Grande ville,1-2x/sem,Occasionnel,1x/an,Bio,1,Centre,Croyant non pratiquant,<1h/j,1x/mois,1x/an
20,Homme,1484,Bac+5,Ville moyenne,3x+/sem,Occasionnel,1x/an,Bio,1,Gauche,Croyant non pratiquant,1-3h/j,Jamais,1x/an
28,Homme,3260,Bac+2,Grande ville,1-2x/sem,Occasionnel,1x/an,Équilibré,8,Gauche,Pratiquant,<1h/j,1x/sem,1x/an
54,Homme,2602,Bac,Campagne,Jamais,Régulier,1x/an,Équilibré,10,Gauche,Athée,1-3h/j,2x+/sem,1x/an
21,Homme,2227,Bac+5,Campagne,1-2x/sem,Régulier,1x/mois ou +,Industriel,2,Apolitique,Agnostique,<1h/j,1x/mois,4x+/an
66,Homme,2163,Doctorat,Grande ville,3x+/sem,Régulier,1x/an,Végétarien,5,Droite,Athée,1-3h/j,Jamais,1x/an
21,Femme,2089,Bac+5,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Industriel,3,Droite,Pratiquant,1-3h/j,1x/sem,1x/an
41,Homme,2361,Doctorat,Grande ville,3x+/sem,Occasionnel,Jamais,Végétarien,7,Gauche,Agnostique,1-3h/j,1x/sem,Jamais
45,Femme,1509,Doctorat,Banlieue,Jamais,Occasionnel,1x/an,Industriel,9,Centre,Agnostique,1-3h/j,1x/mois,4x+/an
52,Homme,3220,Bac,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Industriel,9,Apolitique,Agnostique,1-3h/j,Jamais,1x/an
55,Femme,2121,Bac+2,Ville moyenne,1-2x/sem,Occasionnel,2-4x/an,Bio,8,Droite,Agnostique,Jamais,1x/sem,2-3x/an
67,Homme,2480,Bac+2,Grande ville,3x+/sem,Occasionnel,1x/an,Équilibré,3,Gauche,Croyant non pratiquant,Jamais,Jamais,1x/an
41,Femme,1653,Bac+5,Grande ville,Rarement,Occasionnel,1x/an,Équilibré,6,Centre,Athée,<1h/j,1x/mois,Jamais
39,Homme,2299,Bac+2,Campagne,1-2x/sem,Occasionnel,2-4x/an,Industriel,8,Centre,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
43,Homme,500,Bac+2,Grande ville,1-2x/sem,Occasionnel,Jamais,Bio,3,Centre,Pratiquant,Jamais,2x+/sem,2-3x/an
35,Femme,1105,Bac,Banlieue,Rarement,Régulier,1x/an,Végétarien,5,Droite,Agnostique,3h+/j,1x/sem,2-3x/an
20,Femme,1974,Bac+2,Banlieue,1-2x/sem,Régulier,1x/mois ou +,Industriel,4,Droite,Croyant non pratiquant,3h+/j,1x/mois,1x/an
63,Femme,942,Aucun,Grande ville,3x+/sem,Régulier,1x/an,Équilibré,8,Apolitique,Croyant non pratiquant,3h+/j,1x/mois,1x/an
28,Homme,3951,Bac+5,Grande ville,Rarement,Occasionnel,Jamais,Industriel,3,Gauche,Croyant non pratiquant,1-3h/j,1x/mois,4x+/an
26,Femme,665,Bac,Grande ville,Jamais,Jamais,Jamais,Industriel,4,Apolitique,Agnostique,1-3h/j,1x/mois,4x+/an
50,Homme,2276,Bac+2,Grande ville,Rarement,Occasionnel,2-4x/an,Bio,3,Apolitique,Croyant non pratiquant,1-3h/j,Jamais,Jamais
43,Homme,3324,Bac+2,Grande ville,Rarement,Régulier,2-4x/an,Industriel,4,Gauche,Croyant non pratiquant,1-3h/j,2x+/sem,2-3x/an
53,Homme,2385,Bac+5,Ville moyenne,1-2x/sem,Occasionnel,1x/mois ou +,Équilibré,2,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
21,Femme,1751,Bac+5,Banlieue,3x+/sem,Régulier,1x/an,Végétarien,4,Apolitique,Pratiquant,1-3h/j,1x/sem,1x/an
69,Femme,1558,Bac+5,Campagne,Rarement,Occasionnel,1x/an,Équilibré,8,Centre,Croyant non pratiquant,3h+/j,1x/mois,2-3x/an
19,Homme,2538,Bac+2,Grande ville,Rarement,Occasionnel,2-4x/an,Végétarien,4,Gauche,Croyant non pratiquant,1-3h/j,1x/mois,1x/an
25,Femme,1359,Bac+2,Grande ville,Jamais,Jamais,1x/an,Équilibré,5,Apolitique,Agnostique,1-3h/j,1x/sem,2-3x/an
24,Femme,1904,Bac+5,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Bio,3,Gauche,Pratiquant,3h+/j,1x/sem,1x/an
53,Femme,2552,Bac+5,Campagne,1-2x/sem,Occasionnel,1x/an,Équilibré,2,Gauche,Pratiquant,3h+/j,1x/sem,1x/an
51,Femme,1753,Aucun,Banlieue,1-2x/sem,Occasionnel,1x/an,Équilibré,3,Apolitique,Agnostique,3h+/j,2x+/sem,2-3x/an
57,Homme,2070,Bac,Grande ville,3x+/sem,Jamais,2-4x/an,Industriel,1,Apolitique,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
36,Homme,1756,Doctorat,Grande ville,Rarement,Occasionnel,2-4x/an,Équilibré,3,Apolitique,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
46,Femme,1224,Bac+2,Ville moyenne,Jamais,Occasionnel,2-4x/an,Industriel,5,Droite,Croyant non pratiquant,Jamais,1x/sem,2-3x/an
56,Femme,2951,Bac,Grande ville,Rarement,Régulier,1x/an,Équilibré,2,Centre,Agnostique,1-3h/j,1x/sem,2-3x/an
23,Homme,3114,Aucun,Ville moyenne,Rarement,Régulier,2-4x/an,Équilibré,8,Centre,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
27,Femme,1746,Aucun,Grande ville,3x+/sem,Régulier,2-4x/an,Équilibré,8,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
58,Femme,1787,Bac+5,Banlieue,3x+/sem,Occasionnel,1x/an,Équilibré,1,Droite,Croyant non pratiquant,3h+/j,1x/sem,4x+/an
59,Femme,1857,Bac,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Bio,8,Droite,Athée,1-3h/j,1x/sem,Jamais
22,Homme,2431,Bac,Ville moyenne,3x+/sem,Occasionnel,1x/an,Industriel,9,Droite,Pratiquant,<1h/j,1x/sem,Jamais
41,Femme,1275,Bac,Ville moyenne,3x+/sem,Occasionnel,2-4x/an,Bio,3,Gauche,Croyant non pratiquant,3h+/j,1x/sem,Jamais
58,Femme,1929,Bac+2,Ville moyenne,3x+/sem,Jamais,2-4x/an,Équilibré,7,Apolitique,Agnostique,1-3h/j,1x/sem,2-3x/an
39,Femme,2210,Bac+2,Ville moyenne,Rarement,Régulier,1x/an,Équilibré,2,Droite,Athée,1-3h/j,Jamais,2-3x/an
43,Homme,2513,Bac,Campagne,Jamais,Occasionnel,1x/an,Équilibré,2,Droite,Croyant non pratiquant,1-3h/j,1x/mois,4x+/an
68,Homme,500,Bac+5,Campagne,1-2x/sem,Régulier,1x/an,Équilibré,5,Centre,Agnostique,<1h/j,1x/mois,1x/an
54,Homme,2322,Bac+5,Ville moyenne,1-2x/sem,Régulier,1x/mois ou +,Industriel,7,Droite,Agnostique,3h+/j,1x/mois,Jamais
62,Homme,2276,Doctorat,Grande ville,Rarement,Jamais,1x/an,Équilibré,8,Apolitique,Agnostique,1-3h/j,1x/mois,2-3x/an
46,Homme,2806,Bac+2,Campagne,3x+/sem,Régulier,2-4x/an,Industriel,9,Apolitique,Croyant non pratiquant,1-3h/j,Jamais,2-3x/an
53,Homme,1578,Bac+2,Banlieue,1-2x/sem,Occasionnel,2-4x/an,Végétarien,2,Gauche,Pratiquant,1-3h/j,1x/mois,4x+/an
37,Femme,1585,Bac,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Végétarien,5,Centre,Pratiquant,1-3h/j,1x/sem,1x/an
35,Femme,2962,Bac+5,Ville moyenne,1-2x/sem,Occasionnel,1x/an,Bio,2,Apolitique,Pratiquant,1-3h/j,1x/mois,1x/an
57,Homme,749,Doctorat,Ville moyenne,1-2x/sem,Occasionnel,1x/mois ou +,Équilibré,10,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
62,Homme,3303,Bac+2,Banlieue,3x+/sem,Régulier,1x/an,Bio,7,Apolitique,Croyant non pratiquant,3h+/j,Jamais,1x/an
58,Homme,4044,Bac+2,Ville moyenne,Rarement,Occasionnel,2-4x/an,Végétarien,5,Apolitique,Croyant non pratiquant,<1h/j,1x/mois,1x/an
32,Femme,2381,Bac+5,Grande ville,Jamais,Régulier,1x/an,Bio,9,Gauche,Croyant non pratiquant,3h+/j,1x/sem,Jamais
32,Homme,2651,Bac+2,Grande ville,Rarement,Occasionnel,1x/an,Bio,7,Gauche,Athée,1-3h/j,1x/sem,1x/an
41,Homme,808,Bac,Grande ville,Rarement,Régulier,1x/an,Équilibré,5,Droite,Athée,1-3h/j,1x/mois,2-3x/an
46,Homme,1444,Bac,Grande ville,Rarement,Régulier,1x/mois ou +,Bio,5,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
34,Homme,2846,Bac+2,Campagne,3x+/sem,Régulier,2-4x/an,Industriel,6,Droite,Pratiquant,<1h/j,Jamais,2-3x/an
66,Homme,2289,Bac+2,Campagne,Rarement,Occasionnel,Jamais,Bio,4,Apolitique,Croyant non pratiquant,1-3h/j,1x/sem,Jamais
64,Homme,1854,Bac+2,Grande ville,Jamais,Occasionnel,1x/mois ou +,Équilibré,8,Droite,Croyant non pratiquant,1-3h/j,1x/mois,2-3x/an
42,Femme,2186,Aucun,Grande ville,Rarement,Régulier,1x/mois ou +,Équilibré,6,Centre,Croyant non pratiquant,1-3h/j,1x/sem,Jamais
33,Femme,2405,Bac+5,Banlieue,1-2x/sem,Jamais,1x/mois ou +,Industriel,3,Centre,Croyant non pratiquant,Jamais,1x/mois,1x/an
67,Femme,1765,Bac,Grande ville,Rarement,Jamais,1x/an,Équilibré,4,Droite,Athée,<1h/j,1x/sem,2-3x/an
34,Femme,1976,Bac+2,Grande ville,3x+/sem,Jamais,2-4x/an,Bio,7,Gauche,Pratiquant,1-3h/j,1x/mois,Jamais
64,Femme,1970,Bac+5,Banlieue,Jamais,Régulier,1x/an,Équilibré,10,Centre,Athée,<1h/j,1x/sem,Jamais
64,Homme,1158,Bac,Ville moyenne,1-2x/sem,Régulier,1x/an,Équilibré,3,Apolitique,Pratiquant,1-3h/j,1x/mois,1x/an
38,Femme,2258,Bac+2,Grande ville,Rarement,Régulier,1x/mois ou +,Bio,5,Centre,Athée,<1h/j,Jamais,1x/an
61,Homme,3442,Aucun,Grande ville,1-2x/sem,Régulier,2-4x/an,Bio,6,Gauche,Athée,<1h/j,1x/mois,2-3x/an
65,Homme,3385,Aucun,Ville moyenne,1-2x/sem,Régulier,2-4x/an,Industriel,7,Apolitique,Croyant non pratiquant,<1h/j,2x+/sem,4x+/an
44,Homme,818,Bac,Campagne,3x+/sem,Occasionnel,1x/mois ou +,Équilibré,1,Centre,Croyant non pratiquant,<1h/j,1x/sem,Jamais
22,Homme,2456,Bac+5,Grande ville,Jamais,Occasionnel,1x/an,Équilibré,3,Apolitique,Athée,<1h/j,1x/mois,2-3x/an
39,Homme,2540,Bac+5,Ville moyenne,Rarement,Occasionnel,2-4x/an,Végétarien,10,Gauche,Agnostique,1-3h/j,1x/sem,Jamais
50,Homme,1671,Bac+2,Grande ville,1-2x/sem,Occasionnel,Jamais,Industriel,4,Apolitique,Agnostique,<1h/j,Jamais,Jamais
57,Homme,1228,Aucun,Campagne,3x+/sem,Occasionnel,2-4x/an,Industriel,6,Droite,Agnostique,<1h/j,1x/mois,1x/an
19,Femme,943,Bac,Grande ville,Jamais,Régulier,1x/mois ou +,Équilibré,5,Centre,Athée,1-3h/j,1x/mois,1x/an
52,Femme,1644,Doctorat,Ville moyenne,1-2x/sem,Jamais,Jamais,Industriel,4,Gauche,Croyant non pratiquant,1-3h/j,2x+/sem,2-3x/an
60,Homme,2280,Bac,Banlieue,Rarement,Régulier,2-4x/an,Équilibré,2,Apolitique,Agnostique,Jamais,2x+/sem,4x+/an
36,Femme,1873,Bac+5,Grande ville,3x+/sem,Jamais,1x/mois ou +,Équilibré,8,Gauche,Agnostique,<1h/j,1x/sem,1x/an
57,Homme,1511,Bac+5,Grande ville,Jamais,Régulier,1x/an,Bio,4,Gauche,Pratiquant,1-3h/j,1x/sem,1x/an
44,Femme,1000,Bac+2,Ville moyenne,Rarement,Occasionnel,1x/mois ou +,Industriel,3,Centre,Athée,1-3h/j,1x/mois,2-3x/an
57,Homme,2280,Doctorat,Campagne,Rarement,Jamais,2-4x/an,Bio,4,Droite,Croyant non pratiquant,Jamais,2x+/sem,1x/an
53,Femme,2853,Bac+2,Ville moyenne,1-2x/sem,Jamais,Jamais,Équilibré,8,Gauche,Croyant non pratiquant,1-3h/j,Jamais,1x/an
56,Femme,1258,Doctorat,Grande ville,Jamais,Jamais,2-4x/an,Végétarien,8,Gauche,Athée,1-3h/j,1x/mois,1x/an
19,Femme,2358,Bac+5,Ville moyenne,1-2x/sem,Occasionnel,1x/an,Équilibré,3,Apolitique,Athée,1-3h/j,1x/sem,1x/an
58,Homme,500,Bac+5,Grande ville,Rarement,Jamais,1x/an,Industriel,2,Apolitique,Croyant non pratiquant,3h+/j,2x+/sem,2-3x/an
35,Homme,1474,Doctorat,Grande ville,Rarement,Occasionnel,1x/mois ou +,Bio,4,Gauche,Croyant non pratiquant,<1h/j,1x/sem,1x/an
63,Femme,2583,Bac+2,Ville moyenne,1-2x/sem,Jamais,1x/mois ou +,Industriel,6,Centre,Pratiquant,3h+/j,1x/mois,1x/an
40,Femme,1105,Bac,Grande ville,1-2x/sem,Régulier,2-4x/an,Industriel,7,Droite,Croyant non pratiquant,Jamais,1x/sem,1x/an
43,Femme,1516,Bac,Banlieue,Jamais,Régulier,1x/mois ou +,Végétarien,4,Droite,Pratiquant,1-3h/j,1x/sem,4x+/an
28,Femme,3134,Bac+5,Ville moyenne,Rarement,Occasionnel,1x/mois ou +,Équilibré,1,Apolitique,Croyant non pratiquant,<1h/j,1x/mois,2-3x/an
65,Femme,1413,Bac+2,Grande ville,Jamais,Jamais,Jamais,Industriel,10,Apolitique,Athée,1-3h/j,1x/mois,2-3x/an
18,Homme,1316,Bac+2,Grande ville,Rarement,Occasionnel,1x/an,Industriel,3,Apolitique,Croyant non pratiquant,3h+/j,1x/mois,1x/an
53,Homme,2460,Doctorat,Grande ville,3x+/sem,Jamais,1x/mois ou +,Bio,4,Gauche,Pratiquant,1-3h/j,Jamais,Jamais
67,Homme,3563,Doctorat,Campagne,1-2x/sem,Régulier,2-4x/an,Végétarien,3,Apolitique,Croyant non pratiquant,1-3h/j,1x/mois,2-3x/an
37,Femme,1808,Bac+2,Ville moyenne,1-2x/sem,Jamais,2-4x/an,Bio,2,Droite,Agnostique,1-3h/j,1x/mois,2-3x/an
48,Homme,2614,Doctorat,Ville moyenne,Rarement,Occasionnel,1x/an,Industriel,8,Gauche,Athée,3h+/j,1x/mois,4x+/an
25,Femme,3076,Bac+2,Grande ville,1-2x/sem,Régulier,Jamais,Industriel,9,Droite,Croyant non pratiquant,1-3h/j,2x+/sem,2-3x/an
57,Femme,2260,Bac,Ville moyenne,3x+/sem,Occasionnel,2-4x/an,Équilibré,7,Centre,Athée,1-3h/j,Jamais,Jamais
41,Femme,1784,Bac+2,Banlieue,1-2x/sem,Jamais,Jamais,Industriel,8,Gauche,Agnostique,Jamais,1x/sem,2-3x/an
37,Homme,1298,Aucun,Grande ville,3x+/sem,Régulier,2-4x/an,Industriel,1,Apolitique,Pratiquant,Jamais,1x/sem,1x/an
32,Femme,859,Bac,Ville moyenne,Jamais,Régulier,Jamais,Équilibré,8,Gauche,Agnostique,Jamais,1x/mois,Jamais
47,Femme,2889,Bac+5,Ville moyenne,Rarement,Régulier,2-4x/an,Végétarien,4,Droite,Agnostique,<1h/j,2x+/sem,1x/an
37,Femme,2144,Bac+5,Grande ville,Rarement,Jamais,2-4x/an,Industriel,8,Droite,Croyant non pratiquant,<1h/j,1x/sem,2-3x/an
55,Femme,3066,Bac,Grande ville,1-2x/sem,Jamais,1x/an,Industriel,7,Apolitique,Agnostique,1-3h/j,1x/mois,2-3x/an
19,Femme,2791,Bac+5,Campagne,1-2x/sem,Occasionnel,1x/an,Bio,5,Gauche,Athée,3h+/j,1x/mois,1x/an
23,Femme,1506,Doctorat,Grande ville,Jamais,Jamais,2-4x/an,Industriel,6,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
59,Femme,1050,Doctorat,Ville moyenne,3x+/sem,Régulier,1x/an,Équilibré,2,Gauche,Athée,<1h/j,Jamais,4x+/an
35,Homme,2330,Bac+2,Ville moyenne,1-2x/sem,Occasionnel,2-4x/an,Industriel,9,Droite,Athée,3h+/j,1x/sem,1x/an
53,Femme,1493,Bac+5,Grande ville,1-2x/sem,Jamais,1x/mois ou +,Bio,1,Apolitique,Croyant non pratiquant,3h+/j,1x/mois,1x/an
31,Femme,2301,Bac+2,Banlieue,Rarement,Occasionnel,2-4x/an,Bio,10,Apolitique,Pratiquant,1-3h/j,1x/mois,Jamais
43,Femme,1415,Bac+2,Banlieue,Rarement,Occasionnel,2-4x/an,Bio,6,Gauche,Pratiquant,3h+/j,2x+/sem,2-3x/an
51,Homme,1311,Bac,Grande ville,Jamais,Occasionnel,1x/an,Industriel,6,Apolitique,Agnostique,1-3h/j,1x/sem,Jamais
47,Femme,1887,Bac+2,Ville moyenne,Jamais,Occasionnel,2-4x/an,Équilibré,4,Apolitique,Croyant non pratiquant,1-3h/j,1x/mois,1x/an
24,Femme,2747,Bac,Grande ville,Rarement,Régulier,2-4x/an,Industriel,2,Droite,Athée,<1h/j,Jamais,2-3x/an
47,Homme,2245,Bac+5,Banlieue,1-2x/sem,Régulier,1x/an,Industriel,2,Centre,Agnostique,1-3h/j,Jamais,4x+/an
35,Homme,2942,Bac+2,Grande ville,1-2x/sem,Occasionnel,1x/an,Équilibré,2,Centre,Agnostique,Jamais,1x/mois,Jamais
39,Femme,1013,Bac+5,Ville moyenne,Rarement,Occasionnel,2-4x/an,Bio,5,Apolitique,Croyant non pratiquant,3h+/j,1x/mois,Jamais
34,Homme,1154,Bac+2,Campagne,Rarement,Jamais,1x/mois ou +,Végétarien,8,Gauche,Pratiquant,<1h/j,1x/mois,1x/an
48,Homme,1928,Bac,Grande ville,Jamais,Jamais,2-4x/an,Bio,4,Apolitique,Pratiquant,1-3h/j,Jamais,2-3x/an
34,Femme,3732,Doctorat,Campagne,1-2x/sem,Régulier,1x/an,Équilibré,1,Droite,Athée,<1h/j,Jamais,1x/an
48,Homme,2539,Bac+5,Ville moyenne,3x+/sem,Occasionnel,1x/an,Équilibré,5,Apolitique,Agnostique,3h+/j,Jamais,1x/an
30,Homme,1146,Bac+2,Banlieue,Rarement,Occasionnel,2-4x/an,Bio,8,Gauche,Pratiquant,1-3h/j,Jamais,1x/an
44,Homme,1939,Bac+5,Grande ville,Rarement,Régulier,2-4x/an,Bio,3,Apolitique,Athée,1-3h/j,2x+/sem,2-3x/an
37,Homme,2176,Bac,Ville moyenne,Rarement,Jamais,1x/an,Bio,3,Apolitique,Athée,1-3h/j,Jamais,1x/an
34,Femme,1545,Bac+5,Ville moyenne,1-2x/sem,Régulier,1x/mois ou +,Industriel,9,Centre,Athée,1-3h/j,Jamais,2-3x/an
