Sexe,Âge,Statut_SocioEco,Type_Bac,Mention_Bac,Boursier,Note_Math,Note_Français,Note_Statistiques,Note_Programmation,Note_Anglais,Absences,Engagement_Associatif,Motivation,Stress,Temps_Travail_Perso_hebdo,Diplôme_Obtenu
Femme,19,Moyen,Général,Très Bien,Oui,11.6,13.7,12.5,15.5,13.2,4,Aucun,4.8,7.9,10.3,Oui
Femme,20,Moyen,Général,Bien,Oui,9.6,8.6,8.6,7.5,12.0,3,Actif,6.8,10.0,11.7,Non
Homme,19,Moyen,Général,Très Bien,Oui,20.0,10.9,8.1,14.6,11.1,5,Occasionnel,4.1,8.0,5.9,Oui
Homme,19,Moyen,Général,Assez Bien,Non,7.5,8.6,4.3,8.7,13.7,4,Occasionnel,6.7,2.6,7.1,Non
Homme,21,Faible,Général,Passable,Non,11.6,9.8,11.0,4.5,10.7,4,Aucun,6.2,3.6,5.7,Non
Homme,20,Moyen,Technologique,Bien,Oui,12.0,13.4,10.3,9.5,11.0,4,Aucun,4.9,10.0,2.7,Oui
Homme,24,Élevé,Général,Assez Bien,Oui,15.5,10.2,13.9,12.4,15.3,5,Actif,6.8,5.0,7.1,Oui
Homme,14,Moyen,Général,Passable,Non,12.6,11.2,11.6,9.4,16.8,4,Occasionnel,6.8,5.6,6.8,Oui
Homme,23,Élevé,Général,Assez Bien,Non,10.0,7.9,14.5,9.9,13.8,8,Aucun,8.9,3.1,3.0,Non
Femme,24,Moyen,Général,Passable,Oui,8.6,12.5,8.4,15.0,15.2,3,Actif,3.3,9.4,10.6,Oui
Homme,15,Faible,Technologique,Passable,Non,10.5,11.9,13.9,11.4,12.5,5,Aucun,6.3,6.8,9.9,Oui
Femme,20,Élevé,Général,Très Bien,Oui,8.5,10.2,8.9,8.0,10.3,4,Aucun,5.0,3.6,10.8,Non
Homme,20,Faible,Général,Passable,Oui,11.6,11.5,12.8,13.5,14.2,3,Aucun,8.2,3.0,4.9,Non
Homme,17,Moyen,Général,Assez Bien,Non,9.8,12.5,6.1,11.7,14.1,5,Aucun,8.0,6.3,0.1,Non
Homme,19,Faible,Général,Aucune,Non,7.0,10.0,11.2,2.2,13.1,5,Aucun,7.5,5.6,9.9,Non
Femme,18,Faible,Général,Assez Bien,Oui,15.3,8.3,4.5,12.5,12.5,5,Aucun,5.1,7.6,5.3,Non
Femme,25,Moyen,Technologique,Aucune,Non,10.0,16.5,9.7,12.4,14.9,2,Aucun,8.3,6.9,4.4,Oui
Femme,23,Faible,Général,Passable,Oui,7.7,10.4,11.8,11.1,11.0,4,Occasionnel,3.4,4.8,3.0,Non
Femme,24,Moyen,Général,Bien,Non,11.0,11.8,8.9,14.1,11.5,4,Actif,3.0,4.1,6.9,Oui
Homme,22,Moyen,Général,Assez Bien,Non,11.7,14.5,7.3,8.6,11.0,7,Occasionnel,3.9,5.1,14.3,Oui
Femme,18,Faible,Technologique,Aucune,Non,6.3,20.8,13.0,12.2,13.2,2,Aucun,6.4,4.1,6.0,Oui
Homme,19,Faible,Général,Passable,Non,12.5,8.9,10.2,5.5,10.8,3,Aucun,7.9,5.2,3.6,Non
Homme,22,Moyen,Technologique,Très Bien,Oui,8.4,13.1,9.0,12.4,11.6,4,Actif,1.0,5.5,10.6,Oui
Femme,17,Moyen,Technologique,Passable,Non,16.6,10.2,10.6,17.8,11.6,5,Actif,9.1,3.3,8.7,Oui
Femme,22,Moyen,Professionnel,Bien,Non,13.1,10.7,18.4,7.5,12.5,7,Aucun,6.8,7.1,0.0,Oui
Femme,20,Moyen,Général,Très Bien,Non,10.3,10.2,14.0,8.3,10.0,5,Aucun,3.4,4.6,10.6,Oui
Femme,20,Élevé,Général,Assez Bien,Oui,9.3,9.2,14.0,8.5,13.2,3,Occasionnel,6.7,3.4,16.5,Oui
Femme,22,Moyen,Technologique,Bien,Non,11.2,11.9,11.8,11.5,15.5,2,Occasionnel,8.7,4.6,0.0,Oui
Femme,22,Moyen,Professionnel,Passable,Non,13.3,8.3,11.0,7.3,13.3,5,Aucun,7.7,6.1,3.1,Oui
Femme,20,Moyen,Professionnel,Bien,Oui,11.4,14.4,3.3,12.5,16.1,7,Occasionnel,8.7,5.7,0.0,Oui
Femme,23,Faible,Général,Passable,Non,10.8,12.1,8.5,14.0,15.7,5,Occasionnel,3.8,6.6,7.7,Oui
Homme,18,Moyen,Général,Très Bien,Oui,11.7,13.1,9.1,12.9,14.6,5,Actif,5.7,7.7,12.0,Oui
Femme,22,Moyen,Général,Bien,Oui,9.7,10.8,4.9,4.8,13.1,7,Aucun,4.7,8.8,8.4,Non
Femme,22,Moyen,Technologique,Bien,Non,10.5,11.1,7.0,14.5,13.0,7,Actif,9.9,6.2,13.6,Oui
Homme,20,Moyen,Général,Bien,Non,5.2,12.7,4.6,14.3,14.5,10,Aucun,7.8,2.8,11.3,Oui
Femme,21,Élevé,Général,Très Bien,Non,14.4,9.1,10.4,13.9,12.2,4,Occasionnel,10.0,4.8,14.8,Oui
Homme,17,Élevé,Technologique,Bien,Oui,12.4,11.1,13.0,12.3,9.2,4,Occasionnel,5.6,3.0,12.6,Oui
Homme,23,Élevé,Général,Assez Bien,Non,9.2,9.9,13.8,11.8,14.0,0,Aucun,5.1,9.7,6.4,Oui
Femme,20,Moyen,Professionnel,Bien,Oui,17.2,9.8,11.7,14.6,10.7,3,Occasionnel,6.2,10.0,8.3,Non
Homme,19,Moyen,Général,Assez Bien,Oui,11.8,6.7,7.6,17.7,11.1,3,Aucun,9.3,7.1,4.5,Oui
Homme,23,Moyen,Général,Assez Bien,Oui,8.4,15.3,4.7,7.7,13.0,2,Aucun,5.8,7.6,7.1,Non
Homme,19,Moyen,Général,Passable,Non,14.1,10.3,5.2,14.8,12.8,9,Aucun,6.7,6.1,8.2,Oui
Homme,17,Moyen,Technologique,Aucune,Non,12.7,14.9,6.7,10.7,10.2,8,Occasionnel,6.7,6.4,7.7,Non
Femme,17,Moyen,Général,Assez Bien,Non,12.7,14.7,7.8,10.5,13.3,8,Aucun,6.6,1.5,13.4,Oui
Homme,22,Moyen,Général,Bien,Non,10.2,8.8,10.0,5.6,14.9,4,Actif,5.2,5.3,6.7,Non
Femme,17,Moyen,Professionnel,Bien,Oui,12.9,9.3,7.5,10.0,10.7,10,Aucun,6.2,3.3,4.3,Non
Homme,25,Faible,Général,Aucune,Non,10.7,18.4,11.5,7.5,15.5,3,Aucun,6.1,6.2,4.5,Oui
Homme,15,Moyen,Général,Très Bien,Non,13.2,16.4,9.8,9.4,9.9,2,Aucun,6.5,5.4,10.6,Oui
Homme,25,Faible,Général,Bien,Non,5.8,11.9,10.5,7.2,17.2,2,Occasionnel,8.4,10.0,2.4,Non
Homme,21,Élevé,Général,Bien,Oui,10.2,12.6,13.9,9.4,12.2,2,Aucun,10.0,7.8,7.2,Oui
Femme,20,Moyen,Technologique,Bien,Non,16.7,10.4,7.0,9.6,13.3,6,Aucun,4.8,6.2,13.3,Oui
Femme,19,Faible,Général,Bien,Non,9.2,13.1,11.8,11.3,9.2,2,Aucun,5.7,4.8,9.2,Oui
Homme,21,Faible,Général,Passable,Non,9.7,10.2,10.5,5.3,12.9,9,Aucun,4.8,9.7,7.7,Oui
Homme,20,Moyen,Général,Bien,Non,10.2,6.9,9.5,5.9,13.5,8,Occasionnel,6.9,5.4,7.9,Oui
Femme,23,Moyen,Technologique,Assez Bien,Oui,7.9,8.7,13.2,12.3,12.8,4,Occasionnel,5.4,6.3,3.9,Oui
Homme,21,Moyen,Général,Bien,Non,4.9,12.1,13.1,8.2,11.9,4,Aucun,7.0,5.6,4.6,Non
Homme,21,Faible,Général,Très Bien,Oui,10.8,9.2,7.7,14.8,11.1,3,Aucun,8.7,4.5,7.2,Oui
Homme,20,Moyen,Général,Aucune,Non,11.9,11.8,10.0,11.8,15.3,9,Actif,1.4,5.6,9.1,Oui
Femme,20,Moyen,Général,Bien,Non,11.3,9.3,11.3,13.1,13.1,10,Aucun,7.5,1.0,11.8,Oui
Femme,21,Moyen,Général,Passable,Oui,11.1,10.0,9.7,15.9,16.1,5,Actif,5.6,1.6,8.4,Oui
Femme,16,Moyen,Général,Assez Bien,Non,11.6,14.1,12.3,9.9,11.9,5,Aucun,7.4,6.4,13.4,Oui
Homme,17,Moyen,Technologique,Très Bien,Non,14.6,12.6,11.3,9.0,12.1,9,Aucun,4.7,9.4,14.4,Non
Homme,22,Faible,Général,Aucune,Oui,10.9,12.0,16.0,14.1,14.6,2,Occasionnel,8.9,6.4,11.2,Oui
Femme,21,Élevé,Professionnel,Bien,Non,9.8,14.2,5.9,12.8,9.8,5,Actif,8.3,3.7,12.9,Non
Femme,20,Moyen,Professionnel,Passable,Oui,10.7,13.2,10.1,10.3,10.6,5,Aucun,7.6,1.9,4.0,Oui
Femme,21,Moyen,Général,Bien,Non,13.2,15.6,7.8,15.9,15.2,8,Aucun,8.1,7.5,3.4,Oui
Femme,21,Faible,Général,Passable,Non,15.7,10.9,12.3,10.3,10.7,6,Aucun,5.0,4.1,10.1,Oui
Homme,19,Moyen,Général,Très Bien,Non,9.6,10.9,5.6,11.1,9.4,6,Actif,5.3,7.1,2.6,Oui
Femme,19,Faible,Technologique,Assez Bien,Non,11.8,8.7,11.5,11.1,16.7,7,Occasionnel,8.0,6.5,6.8,Oui
Homme,21,Moyen,Général,Passable,Non,12.5,10.9,8.6,7.7,10.2,5,Aucun,5.0,6.7,11.1,Non
Femme,18,Élevé,Général,Aucune,Non,8.5,14.4,8.3,11.3,13.4,5,Aucun,9.4,5.6,13.7,Oui
Homme,22,Moyen,Général,Aucune,Oui,11.6,15.2,6.2,15.9,13.1,7,Aucun,5.9,6.5,7.0,Oui
Femme,16,Faible,Technologique,Passable,Non,7.1,14.4,9.1,12.6,7.4,4,Aucun,7.5,5.2,5.4,Non
Femme,23,Faible,Technologique,Passable,Non,6.2,7.5,13.8,11.1,12.5,4,Aucun,10.0,3.9,9.3,Non
Femme,22,Moyen,Général,Bien,Oui,12.6,14.7,10.4,10.4,13.9,6,Occasionnel,5.1,3.1,3.7,Oui
Femme,21,Faible,Technologique,Bien,Oui,10.3,7.4,12.4,12.2,13.7,6,Aucun,6.6,1.0,7.3,Non
Homme,23,Faible,Général,Bien,Non,12.1,14.2,15.5,13.6,14.8,4,Aucun,8.6,5.0,8.0,Oui
Femme,25,Moyen,Général,Assez Bien,Non,11.4,11.1,11.3,13.1,12.2,3,Occasionnel,8.4,9.3,7.9,Oui
Homme,23,Moyen,Professionnel,Assez Bien,Oui,8.6,13.8,8.8,9.8,14.4,3,Aucun,5.8,7.3,8.4,Oui
Homme,16,Faible,Général,Assez Bien,Oui,11.4,8.7,11.9,12.1,11.6,10,Aucun,5.5,6.1,4.7,Oui
Homme,17,Élevé,Général,Bien,Oui,7.8,14.9,8.9,12.7,10.2,6,Aucun,6.0,3.7,5.1,Oui
Homme,19,Faible,Général,Passable,Non,15.7,8.3,9.0,7.5,10.4,6,Aucun,9.4,8.0,5.0,Non
Femme,21,Élevé,Professionnel,Bien,Oui,7.4,10.3,5.9,11.6,10.1,4,Actif,5.9,5.2,1.5,Non
Homme,22,Moyen,Technologique,Bien,Non,10.9,9.5,13.3,3.4,15.0,1,Occasionnel,6.7,9.4,9.4,Non
Homme,19,Élevé,Technologique,Assez Bien,Oui,8.4,7.6,9.3,12.7,10.0,5,Aucun,5.6,3.0,11.6,Non
Homme,21,Moyen,Technologique,Passable,Non,13.2,12.2,11.0,13.3,13.5,7,Aucun,7.9,3.6,11.2,Oui
Femme,19,Élevé,Général,Passable,Oui,10.5,16.5,7.4,13.6,12.5,4,Aucun,6.8,3.4,7.0,Oui
Femme,19,Élevé,Général,Assez Bien,Non,9.9,18.7,11.8,9.6,12.8,3,Occasionnel,4.5,1.8,4.8,Oui
Femme,17,Faible,Général,Bien,Oui,14.1,12.2,8.2,12.1,15.7,5,Occasionnel,4.6,3.2,11.0,Oui
Femme,18,Élevé,Général,Assez Bien,Non,11.6,14.8,10.1,16.0,12.1,7,Aucun,2.5,5.8,10.6,Oui
Homme,17,Moyen,Général,Très Bien,Oui,13.0,12.6,13.1,15.9,14.2,9,Aucun,4.8,3.7,8.9,Oui
Homme,18,Moyen,Professionnel,Assez Bien,Non,8.6,13.2,12.9,10.9,13.1,2,Aucun,8.1,1.0,15.0,Oui
Femme,23,Moyen,Général,Assez Bien,Non,7.3,11.1,10.4,11.5,12.7,6,Occasionnel,9.1,8.2,7.9,Oui
Homme,18,Moyen,Général,Très Bien,Oui,11.8,12.5,5.2,14.9,17.6,2,Actif,7.9,1.3,7.0,Oui
Homme,27,Faible,Général,Bien,Non,10.5,13.3,19.5,5.7,10.1,3,Actif,7.6,7.0,6.4,Oui
Homme,22,Moyen,Général,Aucune,Non,13.4,10.6,15.7,9.9,15.6,5,Aucun,6.2,5.6,1.8,Oui
Femme,21,Moyen,Professionnel,Aucune,Oui,11.3,11.8,12.7,15.7,14.3,3,Occasionnel,8.0,10.0,10.6,Oui
Femme,18,Moyen,Général,Assez Bien,Oui,12.1,11.9,8.2,14.4,12.0,4,Occasionnel,7.1,8.0,7.6,Oui
Homme,22,Élevé,Général,Très Bien,Oui,6.6,14.1,10.2,12.3,16.3,5,Actif,10.0,4.2,10.0,Oui
Femme,19,Moyen,Technologique,Bien,Non,17.2,9.3,8.9,5.7,9.3,4,Aucun,6.3,3.7,15.4,Non
Femme,21,Moyen,Général,Assez Bien,Non,11.0,11.9,14.3,10.8,12.0,5,Occasionnel,9.2,9.3,6.4,Oui
Femme,27,Faible,Général,Aucune,Oui,13.6,16.8,11.3,8.9,10.6,2,Aucun,8.2,1.8,0.0,Oui
Femme,20,Faible,Général,Bien,Non,9.0,14.9,8.1,12.2,13.8,4,Occasionnel,8.0,6.0,9.9,Oui
Femme,23,Faible,Général,Passable,Non,12.4,15.4,9.1,8.2,10.8,5,Aucun,2.5,5.2,8.7,Oui
Homme,19,Moyen,Professionnel,Bien,Non,7.6,12.1,13.9,7.4,13.9,6,Occasionnel,8.4,4.6,5.1,Oui
Femme,20,Faible,Technologique,Aucune,Non,12.9,12.8,15.3,3.8,12.6,10,Actif,6.2,6.4,9.6,Oui
Homme,25,Élevé,Général,Assez Bien,Non,10.4,14.5,15.1,15.3,12.0,5,Aucun,5.6,6.0,11.1,Oui
Homme,19,Moyen,Technologique,Passable,Non,11.6,15.9,12.8,9.6,13.8,6,Occasionnel,3.5,6.6,4.2,Oui
Femme,25,Moyen,Général,Bien,Oui,13.6,7.1,9.7,11.6,12.5,7,Aucun,6.5,5.8,6.8,Non
Homme,22,Moyen,Général,Assez Bien,Non,7.8,8.7,0.8,11.0,10.8,4,Aucun,6.6,6.5,13.9,Non
Homme,19,Faible,Général,Bien,Non,9.4,15.3,11.4,7.3,18.6,7,Aucun,3.9,5.7,5.1,Oui
Homme,22,Moyen,Général,Bien,Non,12.9,11.3,10.5,6.6,12.0,6,Aucun,3.6,3.9,8.3,Oui
Femme,23,Moyen,Général,Aucune,Non,17.8,10.3,10.9,7.5,8.6,2,Actif,7.5,5.5,0.0,Non
Femme,22,Moyen,Technologique,Aucune,Non,11.1,8.9,10.7,8.5,11.3,3,Aucun,8.2,3.7,2.1,Oui
Homme,17,Moyen,Professionnel,Passable,Non,13.3,10.6,6.5,12.3,10.5,4,Occasionnel,6.9,3.5,8.6,Oui
Femme,19,Élevé,Général,Assez Bien,Oui,11.2,8.5,12.2,8.2,14.7,4,Actif,8.8,4.7,12.9,Non
Femme,20,Élevé,Général,Passable,Oui,17.3,17.2,12.4,17.1,13.6,5,Actif,6.3,5.2,2.6,Oui
Femme,20,Moyen,Général,Très Bien,Non,6.3,11.9,12.5,14.6,13.8,7,Occasionnel,6.4,5.6,8.3,Oui
Femme,22,Moyen,Général,Bien,Non,11.8,11.9,13.3,13.8,12.3,3,Aucun,4.7,7.8,6.5,Non
Homme,21,Moyen,Général,Bien,Oui,6.6,13.5,12.3,10.6,12.4,3,Actif,3.4,4.3,11.8,Oui
Homme,17,Faible,Général,Assez Bien,Non,4.0,14.4,9.3,16.3,12.3,6,Aucun,10.0,6.0,3.1,Oui
Femme,21,Moyen,Technologique,Assez Bien,Non,12.4,14.4,10.3,10.2,12.8,3,Actif,8.8,5.8,9.7,Oui
Femme,22,Faible,Général,Bien,Oui,11.9,14.7,10.8,10.9,14.7,9,Occasionnel,3.7,4.0,5.4,Oui
Homme,22,Moyen,Général,Assez Bien,Oui,10.6,10.4,10.8,11.6,13.7,7,Occasionnel,6.8,5.7,8.9,Oui
Homme,23,Moyen,Général,Passable,Oui,11.2,11.3,13.5,13.5,14.0,5,Aucun,6.3,8.0,8.3,Oui
Femme,23,Faible,Général,Assez Bien,Non,20.8,13.9,12.4,13.2,14.0,6,Occasionnel,6.0,6.0,7.0,Oui
Homme,22,Élevé,Général,Bien,Oui,10.7,10.7,16.7,9.3,14.8,6,Actif,5.7,6.1,9.9,Oui
Femme,20,Élevé,Technologique,Bien,Oui,13.0,12.0,17.1,9.1,13.6,3,Actif,7.3,3.7,8.2,Oui
Femme,16,Moyen,Général,Bien,Non,9.6,13.0,10.7,13.2,13.7,8,Aucun,8.1,10.0,7.5,Oui
Homme,22,Moyen,Technologique,Bien,Oui,12.4,14.0,-1.0,13.5,15.4,10,Actif,7.3,3.9,6.6,Oui
Homme,21,Élevé,Général,Assez Bien,Oui,10.8,7.6,14.2,9.6,11.7,6,Aucun,6.3,1.3,8.3,Oui
Femme,21,Faible,Général,Assez Bien,Oui,10.3,13.8,8.9,5.4,11.3,7,Occasionnel,6.2,7.7,8.9,Non
Femme,17,Moyen,Général,Passable,Non,17.0,11.4,8.1,10.3,10.6,2,Occasionnel,8.4,5.2,4.0,Oui
Homme,18,Faible,Technologique,Assez Bien,Non,15.0,13.8,9.3,13.2,13.4,5,Aucun,7.4,4.7,6.6,Non
Femme,23,Moyen,Général,Passable,Oui,11.9,13.9,9.2,17.3,9.3,8,Aucun,6.6,4.1,3.8,Oui
Homme,20,Faible,Technologique,Bien,Oui,4.6,16.0,12.3,6.8,13.9,6,Occasionnel,6.4,10.0,7.8,Oui
Femme,22,Élevé,Général,Assez Bien,Non,10.4,15.4,5.8,9.5,12.8,2,Aucun,7.2,6.4,5.6,Oui
Homme,21,Élevé,Technologique,Passable,Oui,19.6,15.4,7.3,9.6,15.3,3,Aucun,5.6,6.9,11.1,Oui
Homme,21,Faible,Général,Bien,Oui,10.8,15.6,11.5,15.7,11.7,10,Occasionnel,8.1,5.9,10.7,Oui
Homme,23,Moyen,Technologique,Bien,Oui,14.8,12.7,12.4,10.9,12.6,3,Actif,4.3,6.2,4.3,Oui
Femme,19,Élevé,Général,Passable,Non,15.8,12.1,12.4,7.8,15.2,4,Occasionnel,5.7,9.0,8.0,Oui
Femme,21,Moyen,Professionnel,Bien,Non,12.2,14.2,8.1,13.0,15.8,9,Aucun,7.7,4.9,10.6,Oui
Homme,19,Élevé,Général,Passable,Oui,9.0,13.8,7.6,9.6,11.6,2,Aucun,4.2,1.9,7.3,Non
Femme,19,Moyen,Général,Très Bien,Non,4.2,11.2,9.0,6.7,13.4,5,Occasionnel,3.4,7.7,5.1,Oui
Homme,20,Moyen,Général,Passable,Oui,13.6,13.0,11.2,7.9,13.6,1,Occasionnel,6.6,6.7,3.6,Oui
Homme,21,Faible,Technologique,Bien,Oui,9.1,11.9,15.0,17.1,13.7,5,Occasionnel,3.1,5.8,11.4,Oui
Femme,19,Faible,Général,Très Bien,Non,12.0,9.9,4.4,12.3,12.5,9,Actif,3.9,6.7,11.6,Non
Femme,24,Moyen,Technologique,Assez Bien,Oui,7.8,15.2,9.8,11.4,15.6,2,Aucun,8.0,4.6,7.2,Oui
Homme,18,Moyen,Général,Bien,Non,10.7,12.1,6.5,10.1,9.2,5,Aucun,6.1,5.6,11.1,Oui
Femme,20,Moyen,Général,Assez Bien,Oui,11.6,17.1,5.5,12.0,12.2,6,Actif,9.1,5.2,0.0,Oui
Femme,19,Moyen,Général,Très Bien,Non,12.3,7.9,13.4,12.0,13.9,7,Occasionnel,4.1,4.0,13.3,Oui
Homme,24,Moyen,Professionnel,Bien,Oui,8.2,10.6,12.1,12.0,13.9,3,Occasionnel,6.3,8.5,7.4,Oui
Homme,21,Élevé,Technologique,Bien,Non,15.1,12.1,11.8,11.4,15.7,7,Actif,7.3,2.0,8.6,Non
Femme,23,Élevé,Professionnel,Très Bien,Oui,9.7,14.8,13.3,14.0,15.4,7,Actif,4.2,10.0,6.7,Non
Homme,17,Moyen,Général,Aucune,Non,6.5,13.0,9.1,11.1,12.4,6,Occasionnel,8.6,7.7,13.6,Oui
Homme,21,Élevé,Technologique,Très Bien,Oui,11.2,12.8,9.2,7.6,15.6,4,Aucun,7.5,1.1,3.8,Oui
Femme,23,Moyen,Technologique,Assez Bien,Non,11.6,9.2,17.1,8.9,11.6,10,Actif,3.3,4.9,13.9,Oui
Homme,21,Moyen,Général,Bien,Oui,12.0,9.1,9.8,4.1,14.9,6,Occasionnel,6.4,5.1,9.6,Oui
Homme,23,Élevé,Technologique,Bien,Non,15.6,12.8,12.7,18.1,16.6,8,Aucun,7.3,6.5,10.5,Oui
Femme,19,Faible,Professionnel,Aucune,Oui,10.8,8.6,10.5,14.0,15.4,3,Occasionnel,5.3,3.0,6.7,Oui
Femme,24,Faible,Professionnel,Bien,Oui,11.1,10.7,5.0,8.1,13.2,6,Aucun,3.5,5.6,2.8,Non
Homme,26,Élevé,Technologique,Aucune,Non,8.2,13.3,4.4,10.0,12.3,9,Actif,7.1,5.2,11.7,Oui
Homme,20,Moyen,Général,Bien,Oui,14.0,9.5,8.8,8.8,9.9,3,Aucun,10.0,3.7,9.2,Oui
Femme,19,Élevé,Général,Passable,Oui,12.1,16.0,13.7,16.4,13.6,7,Actif,5.7,3.3,13.4,Non
Femme,24,Élevé,Professionnel,Assez Bien,Non,10.2,15.1,12.9,6.0,10.8,4,Actif,9.6,7.8,7.2,Oui
Femme,24,Faible,Général,Passable,Non,5.8,8.1,13.2,11.4,11.4,3,Actif,5.0,1.3,6.3,Non
Femme,19,Élevé,Technologique,Assez Bien,Oui,15.8,9.7,7.5,10.6,10.6,9,Occasionnel,6.9,6.7,13.6,Oui
Homme,19,Moyen,Technologique,Assez Bien,Non,7.8,6.3,15.3,13.9,12.1,4,Actif,8.0,7.5,15.6,Oui
Femme,20,Moyen,Technologique,Bien,Non,9.7,10.0,7.6,10.6,12.9,4,Aucun,6.5,5.0,8.0,Non
Femme,17,Moyen,Professionnel,Bien,Oui,12.6,13.9,11.1,4.8,13.5,3,Aucun,5.9,5.6,5.0,Non
Homme,18,Élevé,Général,Aucune,Non,7.9,11.0,10.5,10.1,11.8,2,Actif,8.0,8.4,11.2,Non
Femme,18,Faible,Général,Bien,Non,7.0,13.2,10.0,7.6,15.1,3,Aucun,10.0,3.7,7.0,Oui
Homme,19,Moyen,Général,Assez Bien,Non,5.1,8.2,14.5,11.3,12.6,6,Aucun,7.1,4.0,10.4,Non
Femme,20,Moyen,Général,Passable,Oui,13.7,14.0,8.4,16.0,11.4,12,Aucun,5.5,4.3,7.0,Oui
Femme,21,Moyen,Général,Bien,Non,9.9,10.6,6.5,4.9,13.5,7,Aucun,6.1,8.4,14.3,Oui
Femme,24,Moyen,Général,Aucune,Oui,20.3,12.0,10.6,8.2,16.9,4,Occasionnel,10.0,8.7,5.2,Oui
Homme,18,Faible,Technologique,Passable,Oui,8.5,11.8,9.3,9.1,13.7,7,Occasionnel,6.8,2.0,9.9,Non
Homme,23,Faible,Professionnel,Assez Bien,Oui,8.7,8.8,20.6,9.7,12.3,5,Aucun,5.3,8.0,6.0,Oui
Femme,20,Moyen,Général,Passable,Non,9.8,9.1,12.5,13.6,9.9,8,Actif,4.2,7.5,6.9,Non
Homme,20,Élevé,Général,Très Bien,Non,12.2,14.4,9.3,10.4,12.6,4,Aucun,2.8,9.4,6.4,Oui
Homme,22,Faible,Professionnel,Bien,Non,10.1,13.0,7.3,12.5,13.5,7,Occasionnel,7.2,6.5,11.0,Oui
Homme,18,Faible,Général,Assez Bien,Non,13.3,14.6,4.9,8.8,12.2,5,Aucun,7.8,5.4,11.7,Oui
Homme,21,Élevé,Général,Bien,Oui,8.6,12.8,7.4,11.8,9.7,2,Occasionnel,5.7,8.4,10.2,Non
Homme,21,Faible,Général,Passable,Oui,7.4,12.4,10.8,13.7,11.3,4,Aucun,6.5,7.2,7.6,Oui
Homme,22,Élevé,Général,Aucune,Oui,6.1,7.7,14.8,8.4,15.9,6,Aucun,4.2,10.0,8.6,Oui
Femme,21,Moyen,Général,Assez Bien,Oui,4.8,11.3,13.9,13.7,15.9,6,Actif,6.8,7.9,11.6,Oui
Femme,27,Élevé,Professionnel,Bien,Non,9.9,11.9,11.2,11.2,11.2,4,Aucun,7.5,5.9,11.7,Oui
Homme,19,Faible,Général,Aucune,Non,10.6,16.9,9.5,14.7,14.3,3,Actif,5.4,2.6,0.0,Oui
Femme,19,Faible,Général,Assez Bien,Oui,9.6,13.7,11.3,10.3,10.6,4,Occasionnel,9.9,4.0,6.9,Oui
Femme,19,Moyen,Général,Assez Bien,Oui,15.2,15.8,8.9,12.3,15.8,5,Aucun,4.8,1.9,7.1,Oui
Femme,19,Élevé,Général,Assez Bien,Oui,15.2,13.5,15.7,10.9,13.5,7,Occasionnel,7.1,5.0,10.7,Oui
Femme,19,Moyen,Technologique,Aucune,Oui,10.5,10.2,9.9,10.7,14.9,10,Aucun,8.2,7.8,7.7,Oui
Homme,23,Faible,Technologique,Assez Bien,Non,6.1,12.3,10.2,11.9,9.6,7,Occasionnel,6.3,5.5,10.9,Oui
Femme,24,Moyen,Technologique,Passable,Non,9.8,12.6,3.9,12.9,14.4,5,Actif,6.1,8.1,3.7,Oui
Femme,19,Moyen,Général,Passable,Non,9.7,9.7,9.9,6.6,13.0,3,Aucun,3.6,6.3,9.0,Non
Homme,18,Moyen,Professionnel,Bien,Non,9.5,11.0,13.0,16.0,14.7,4,Occasionnel,9.2,4.5,11.6,Oui
Homme,22,Moyen,Technologique,Assez Bien,Oui,9.4,11.5,7.3,4.5,14.8,4,Aucun,6.2,5.7,2.1,Non
Femme,19,Élevé,Technologique,Passable,Oui,9.5,16.0,8.2,8.6,13.1,8,Occasionnel,7.6,6.7,18.1,Oui
Femme,22,Moyen,Général,Assez Bien,Non,10.3,6.8,12.9,10.7,11.8,8,Aucun,7.8,5.8,12.8,Non
Femme,21,Faible,Général,Passable,Non,9.6,15.0,6.1,12.4,14.6,4,Aucun,5.2,5.9,8.0,Oui
Femme,17,Moyen,Général,Aucune,Oui,12.1,9.7,13.7,16.5,12.9,4,Actif,6.1,3.6,4.7,Oui
Femme,24,Faible,Technologique,Assez Bien,Non,12.6,8.6,8.9,4.5,11.3,8,Aucun,9.2,4.4,7.3,Oui
Femme,25,Moyen,Général,Passable,Non,8.8,14.9,9.3,9.2,11.2,4,Occasionnel,4.3,10.0,8.3,Oui
Homme,19,Moyen,Général,Passable,Non,15.3,13.8,7.1,3.6,10.0,6,Occasionnel,10.0,8.6,9.8,Oui
Femme,20,Faible,Professionnel,Passable,Non,8.6,15.1,11.6,11.1,12.0,6,Occasionnel,5.0,1.8,14.0,Oui
Femme,21,Moyen,Professionnel,Assez Bien,Non,6.6,14.0,17.9,12.0,15.2,1,Occasionnel,4.1,1.0,6.1,Oui
Homme,21,Faible,Professionnel,Très Bien,Non,12.6,17.1,12.8,16.6,13.4,5,Occasionnel,6.8,5.7,10.3,Oui
Homme,22,Élevé,Général,Assez Bien,Oui,9.0,13.4,7.9,11.4,11.9,3,Aucun,10.0,7.7,2.8,Oui
Homme,26,Élevé,Technologique,Passable,Oui,12.5,11.6,13.9,14.7,14.6,9,Actif,2.7,4.2,6.3,Oui
